Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2A4G1;CON__Q9D312;CON__Q99456;CON__Q8N1A0;CON__P05784	CON__A2A4G1	11;2;2;1;1	1;0;0;0;0	1;0;0;0;0		5	11	1	1	6	9	8	6	7	7	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	17.8	5.9	5.9	49.493	456	456;431;494;295;423	1	-2	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	9.4	14	13.4	9.4	9.9	9.9	7.7	394660	0	394660	0	0	0	0	0	14095	0	14095	0	0	0	0	0	0	136620	0	0	0	0	0	0	1	0	0	0	0	0	1	+		+	0	7156;7453;7456;7664;9848;11429;13587;13807;14669;14670;15189	False;False;False;False;False;False;False;False;False;True;False	7567;7883;7886;8107;10502;10503;12170;14455;14691;15614;15615;16151;16152	26603;27631;27632;27633;27634;27635;27636;27637;27638;27647;27648;27649;27650;28499;28500;28501;28502;28503;28504;28505;36500;36501;36502;36503;36504;36505;36506;36507;36508;36509;36510;42267;50465;51175;51176;51177;51178;51179;51180;51181;54912;54913;54914;54915;54916;54917;54918;54919;56814;56815;56816;56817;56818;56819;56820;56821;56822;56823;56824;56825;56826;56827;56828;56829;56830;56831;56832;56833;56834;56835;56836;56837;56838;56839;56840	23352;24219;24220;24221;24222;24223;24224;24225;24226;24236;24237;24994;24995;24996;24997;24998;24999;25000;25001;32023;32024;32025;32026;32027;32028;32029;32030;32031;32032;37162;44405;45032;45033;45034;45035;45036;45037;48381;48382;48383;48384;48385;48386;48387;48388;50006;50007;50008;50009;50010;50011;50012;50013;50014;50015;50016;50017;50018;50019;50020;50021;50022;50023;50024;50025;50026;50027;50028;50029;50030;50031;50032	23352;24219;24237;24994;32032;37162;44405;45036;48385;48388;50019	0;1	102;241
CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	3;3	3;3	3;3	;	2	3	3	3	0	3	1	0	0	0	0	0	3	1	0	0	0	0	0	3	1	0	0	0	0	17.5	17.5	17.5	43.9	401	401;419	0	5.7616		By MS/MS	By MS/MS					0	17.5	4	0	0	0	0	3211900	0	2802400	409540	0	0	0	0	188940	0	164840	24091	0	0	0	0	0	970120	0	0	0	0	0	0	3	0	0	0	0	0	3			+	1	2092;3037;9826	True;True;True	2221;3228;10477	8006;11682;11683;36422	7137;7138;10395;10396;31949	7137;10396;31949		
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	13	1	1		1	13	1	1	12	13	13	10	11	11	10	1	1	1	0	0	0	1	1	1	1	0	0	0	1	16	1.8	1.8	63.165	606	606	0.0090562	1.0081	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	15.8	16	16	12.2	13.7	13.7	13.7	4189800	306390	1941600	1841400	0	0	0	100470	130930	9574.7	60675	57542	0	0	0	3139.6	0	0	0	0	0	0	100470	0	1	0	0	0	0	0	1			+	2	184;959;2240;3821;7297;7386;8296;10381;12234;12235;13561;15636;15637	False;False;False;False;False;False;False;True;False;False;False;False;False	193;1027;2378;2379;4043;7713;7810;8772;8773;11067;13021;13022;14425;16632;16633	776;777;778;779;780;781;782;3888;3889;3890;3891;3892;3893;3894;3895;3896;8547;8548;8549;8550;8551;8552;8553;8554;8555;8556;8557;8558;8559;8560;8561;8562;8563;8564;8565;8566;8567;8568;8569;8570;8571;8572;8573;8574;8575;8576;8577;8578;8579;8580;8581;8582;8583;8584;14491;14492;14493;14494;14495;14496;14497;14498;14499;14500;14501;14502;14503;14504;14505;14506;14507;14508;14509;14510;14511;14512;14513;14514;14515;14516;14517;14518;14519;14520;14521;14522;14523;14524;14525;14526;14527;14528;14529;14530;14531;14532;14533;14534;14535;14536;14537;27018;27019;27020;27021;27419;27420;27421;27422;27423;27424;27425;27426;27427;27428;27429;27430;27431;27432;27433;30785;30786;30787;30788;30789;30790;30791;38590;38591;38592;38593;45360;45361;45362;45363;45364;45365;45366;45367;45368;45369;45370;45371;45372;45373;45374;45375;45376;45377;45378;45379;45380;45381;45382;45383;45384;45385;45386;45387;45388;45389;45390;45391;45392;45393;50359;50360;50361;50362;50363;50364;50365;50366;50367;58660;58661;58662;58663;58664;58665;58666;58667;58668;58669;58670;58671;58672;58673;58674;58675	658;659;660;661;662;3418;3419;3420;3421;3422;3423;3424;7614;7615;7616;7617;7618;7619;7620;7621;7622;7623;7624;7625;7626;7627;7628;7629;7630;7631;7632;7633;7634;7635;7636;7637;12787;12788;12789;12790;12791;12792;12793;12794;12795;12796;12797;12798;12799;12800;12801;12802;12803;12804;12805;12806;12807;12808;12809;12810;12811;12812;12813;12814;12815;12816;12817;12818;12819;12820;12821;12822;12823;12824;12825;12826;12827;12828;12829;12830;12831;12832;23679;23680;23681;23682;24028;24029;24030;24031;24032;24033;24034;24035;24036;24037;24038;24039;24040;24041;24042;27017;27018;27019;33915;39934;39935;39936;39937;39938;39939;39940;39941;39942;39943;39944;39945;39946;39947;39948;39949;39950;39951;39952;39953;39954;39955;39956;39957;39958;39959;39960;39961;39962;39963;39964;39965;44324;44325;44326;44327;44328;44329;44330;51584;51585;51586;51587;51588;51589;51590;51591;51592;51593;51594	658;3423;7630;12799;23681;24032;27017;33915;39945;39958;44330;51587;51590	2	465
CON__ENSEMBL:ENSP00000377550;CON__P35900;CON__Q2M2I5	CON__ENSEMBL:ENSP00000377550	19;3;3	1;0;0	1;0;0		3	19	1	1	9	6	16	6	10	6	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	45.7	2.1	2.1	45.771	420	420;424;525	1	-2	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	16.2	10	41.7	10	22.4	10	9.8	1153700	0	0	1153700	0	0	0	0	44372	0	0	44372	0	0	0	0	0	0	318440	0	0	0	0	0	0	1	0	0	0	0	1	+		+	3	604;1412;3093;3343;6232;7156;7457;7664;8110;8659;9848;11151;11152;11711;13587;13807;14566;14671;15562	False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	643;1497;3284;3542;6591;7567;7887;8107;8576;9162;10502;10503;11883;11884;12474;14455;14691;15503;15616;16548	2492;2493;2494;2495;2496;2497;2498;2499;2500;2501;5635;11889;12798;23446;23447;23448;26603;27651;28499;28500;28501;28502;28503;28504;28505;30156;30157;32158;32159;36500;36501;36502;36503;36504;36505;36506;36507;36508;36509;36510;41522;41523;41524;41525;41526;41527;41528;41529;41530;41531;41532;41533;41534;41535;41536;41537;41538;41539;41540;41541;41542;43400;50465;51175;51176;51177;51178;51179;51180;51181;54506;54507;54920;58330;58331	2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;5022;10573;11357;20626;20627;23352;24238;24994;24995;24996;24997;24998;24999;25000;25001;26481;28232;28233;32023;32024;32025;32026;32027;32028;32029;32030;32031;32032;36524;36525;36526;36527;36528;36529;36530;36531;36532;36533;36534;36535;36536;36537;36538;36539;38187;44405;45032;45033;45034;45035;45036;45037;48040;48389;51282	2183;5022;10573;11357;20627;23352;24238;24994;26481;28233;32032;36527;36537;38187;44405;45036;48040;48389;51282	0	247
CON__O43790	CON__O43790	20	19	2		1	20	19	2	17	13	3	1	1	2	1	16	12	2	0	0	1	0	2	2	0	0	0	0	0	53.3	51.9	8.8	53.5	486	486	0	27.644	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	46.3	40.5	5.6	1.4	1.4	3.7	1.4	27667000	16001000	11154000	264490	0	0	247000	0	892480	516170	359810	8531.8	0	0	7967.8	0	1730000	4012900	0	0	0	0	0	17	11	0	0	0	0	0	28			+	4	189;1843;2274;3412;3423;3819;4526;4740;7345;7441;7486;7596;7842;8165;8877;9174;11359;11861;13486;15127	True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True	198;1949;2414;3618;3619;3630;4041;4782;5004;7765;7871;7916;8035;8292;8633;9388;9694;12099;12628;14349;16087	824;7148;8694;8695;13033;13034;13069;14444;14445;14446;14447;14448;14449;14450;17086;17087;17848;17849;27224;27225;27602;27729;28066;28067;28068;29122;29123;29124;30307;32921;32922;32923;33945;42098;43949;43950;50110;50111;50112;50113;56610;56611	700;6368;7740;7741;7742;11568;11569;11594;12743;12744;12745;12746;12747;12748;14998;14999;15660;15661;23867;23868;24192;24306;24592;24593;24594;25551;26616;28889;29720;37006;38670;38671;44101;44102;49817;49818;49819;49820	700;6368;7741;11569;11594;12743;14998;15660;23867;24192;24306;24594;25551;26616;28889;29720;37006;38670;44102;49817	3	393
CON__O95678	CON__O95678	14	1	1		1	14	1	1	10	13	13	7	13	13	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	17.6	2.2	2.2	59.504	551	551	0.0016026	1.698	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	13.8	15.4	15.4	9.6	15.4	15.4	9.6	2330400	2330400	0	0	0	0	0	0	77680	77680	0	0	0	0	0	0	318130	0	0	0	0	0	0	1	0	0	0	0	0	0	1			+	5	188;2127;3483;3485;3819;7113;7386;7387;8164;10005;13030;15636;15637;15644	False;False;False;False;False;False;False;False;False;False;True;False;False;False	197;2256;2257;3695;3697;4041;7522;7810;7811;8632;10668;13868;16632;16633;16640	819;820;821;822;823;8123;8124;8125;8126;8127;8128;13326;13327;13328;13329;13330;13331;13332;13333;13336;13337;13338;13339;14444;14445;14446;14447;14448;14449;14450;26486;26487;26488;26489;26490;26491;26492;26493;26494;26495;26496;27419;27420;27421;27422;27423;27424;27425;27426;27427;27428;27429;27430;27431;27432;27433;27434;27435;27436;27437;27438;30303;30304;30305;30306;37089;37090;37091;37092;37093;37094;37095;37096;37097;37098;37099;37100;37101;37102;37103;37104;37105;37106;37107;37108;37109;37110;37111;48288;58660;58661;58662;58663;58664;58665;58666;58667;58668;58669;58670;58671;58672;58673;58674;58675;58712;58713;58714;58715;58716;58717;58718;58719	696;697;698;699;7240;7241;7242;7243;7244;7245;11819;11820;11821;11822;11823;11824;11825;11827;11828;11829;12743;12744;12745;12746;12747;12748;23251;23252;23253;23254;23255;24028;24029;24030;24031;24032;24033;24034;24035;24036;24037;24038;24039;24040;24041;24042;24043;24044;24045;24046;26612;26613;26614;26615;32522;32523;32524;32525;32526;32527;32528;32529;32530;32531;32532;32533;32534;32535;32536;32537;42518;51584;51585;51586;51587;51588;51589;51590;51591;51592;51593;51594;51632;51633;51634;51635;51636;51637;51638	696;7243;11825;11827;12743;23252;24032;24046;26612;32523;42518;51587;51590;51635	4	265
CON__P00711	CON__P00711	4	4	4		1	4	4	4	0	4	1	0	0	0	0	0	4	1	0	0	0	0	0	4	1	0	0	0	0	39.8	39.8	39.8	14.186	123	123	0	6.1289		By MS/MS	By MS/MS					0	39.8	8.1	0	0	0	0	6637000	0	6239400	397550	0	0	0	0	1659200	0	1559900	99388	0	0	0	0	0	2160000	0	0	0	0	0	0	6	1	0	0	0	0	7			+	6	1508;3802;7566;14445	True;True;True;True	1597;4024;8001;15379	5948;14401;27957;54105;54106;54107	5309;5310;12701;24500;47672;47673;47674;47675	5310;12701;24500;47675	5	90
CON__P00761	CON__P00761	8	8	8		1	8	8	8	6	5	5	7	5	5	8	6	5	5	7	5	5	8	6	5	5	7	5	5	8	51.1	51.1	51.1	24.409	231	231	0	235.43	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.9	31.6	31.6	46.8	31.6	31.6	51.1	105870000000	18605000000	1198300000	23708000000	2166200000	26686000000	22523000000	10985000000	9624800000	1691400000	108940000	2155300000	196930000	2426000000	2047600000	998680000	6003000000	2686300000	4655100000	22039000000	3111700000	4314600000	2297800000	48	21	34	47	36	41	46	273			+	7	886;6052;7797;8842;12623;12726;14166;14184	True;True;True;True;True;True;True;True	952;6396;6397;8247;9352;13442;13550;15077;15095	3601;3602;22759;22760;22761;22762;22763;22764;22765;22766;22767;22768;22769;22770;22771;22772;22773;22774;22775;22776;22777;22778;22779;22780;22781;22782;22783;22784;22785;22786;22787;22788;22789;28965;28966;28967;28968;28969;28970;28971;28972;28973;28974;28975;28976;28977;28978;28979;28980;28981;28982;28983;28984;28985;28986;28987;28988;28989;28990;28991;28992;28993;32770;32771;32772;32773;32774;32775;32776;32777;32778;32779;32780;32781;32782;32783;32784;32785;32786;32787;32788;32789;32790;32791;32792;32793;32794;32795;32796;32797;32798;32799;32800;32801;32802;32803;32804;32805;32806;32807;32808;32809;32810;32811;32812;32813;32814;46874;46875;47182;47183;52763;52764;52765;52766;52767;52768;52769;52770;52771;52772;52773;52774;52775;52776;52777;52778;52779;52780;52781;52782;52783;52784;52785;52786;52787;52788;52789;52790;52791;52792;52793;52794;52795;52796;52797;52798;52799;52800;52801;52802;52803;52804;52805;52806;52807;52808;52809;52810;52811;52812;52813;52814;52815;52816;52817;52818;52819;52820;52821;52822;52823;52824;52825;52826;52827;52828;52829;52830;52831;52832;52833;52834;52835;52836;52837;52838;52839;52840;52841;52842;52843;52844;52845;52846;52847;52848;52849;52850;52851;52852;52853;52854;52855;52856;52857;52858;52859;52860;52861;52862;52863;52864;52865;52866;52867;52868;52869;52870;52871;52872;52873;52874;52875;52876;52877;52878;52879;52880;52881;52882;52883;52884;52885;52886;52887;52888;52889;52890;52891;52892;52893;52894;52895;52896;52897;52898;52899;52900;52901;52902;52903;52904;52905;52906;52907;52908;52909;52910;52911;52912;52913;52914;52915;52916;52917;52918;52919;52920;52921;52922;52923;52924;52925;52926;52927;52928;52929;52930;52931;52932;52933;52934;52935;52936;52937;52938;52939;52940;52941;52942;52943;52944;52945;52946;52947;53047;53048;53049;53050;53051;53052;53053;53054;53055;53056;53057;53058;53059;53060;53061;53062;53063;53064;53065;53066	3173;3174;20014;20015;20016;20017;20018;20019;20020;20021;20022;20023;20024;20025;20026;20027;20028;20029;20030;20031;20032;20033;20034;20035;20036;20037;20038;25404;25405;25406;25407;25408;25409;25410;25411;25412;25413;25414;25415;25416;25417;25418;25419;25420;25421;25422;25423;25424;25425;25426;25427;25428;25429;25430;25431;25432;25433;25434;25435;25436;25437;25438;25439;28756;28757;28758;28759;28760;28761;28762;28763;28764;28765;28766;28767;28768;28769;28770;28771;28772;28773;28774;28775;28776;28777;28778;28779;28780;28781;28782;28783;28784;28785;28786;28787;28788;28789;28790;28791;28792;28793;41301;41560;46472;46473;46474;46475;46476;46477;46478;46479;46480;46481;46482;46483;46484;46485;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;46507;46508;46509;46510;46511;46512;46513;46514;46515;46516;46517;46518;46519;46520;46521;46522;46523;46524;46525;46526;46527;46528;46529;46530;46531;46532;46533;46534;46535;46536;46537;46538;46539;46540;46541;46542;46543;46544;46545;46546;46547;46548;46549;46550;46551;46552;46553;46554;46555;46556;46557;46558;46559;46560;46561;46562;46563;46564;46565;46566;46567;46568;46569;46570;46571;46572;46573;46574;46575;46576;46577;46578;46579;46580;46581;46582;46583;46584;46585;46586;46587;46588;46589;46590;46591;46592;46593;46594;46595;46596;46597;46598;46599;46600;46601;46602;46603;46604;46605;46606;46607;46608;46609;46610;46611;46612;46613;46614;46615;46616;46617;46618;46619;46620;46621;46622;46623;46624;46625;46709;46710;46711;46712;46713;46714;46715;46716;46717;46718;46719;46720;46721;46722;46723;46724;46725;46726;46727	3174;20018;25408;28780;41301;41560;46604;46722	6;7	94;168
CON__P01030	CON__P01030	2	2	1		1	2	2	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	0	0	1	0	0	1	0	1.4	1.4	0.8	192.79	1741	1741	0	3.9804	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.6	0.6	1.4	0.6	0.6	1.4	0.6	11695000	1414900	1921000	2113500	1183000	2120600	1328000	1613900	129940	15721	21344	23483	13144	23562	14756	17932	0	0	0	0	0	0	1613900	0	1	2	1	1	2	2	9			+	8	7175;7872	True;True	7586;8325	26634;26635;29224;29225;29226;29227;29228;29229;29230	23379;23380;25642;25643;25644;25645;25646;25647;25648	23379;25643		
CON__P01966	CON__P01966	1	1	1		1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	1	0	10.6	10.6	10.6	15.184	142	142	0	3.0993		By matching	By MS/MS		By MS/MS	By matching		0	10.6	10.6	0	10.6	10.6	0	2959200	0	844500	570660	0	867990	676020	0	328800	0	93834	63407	0	96443	75114	0	0	0	0	0	0	314150	0	0	0	1	0	1	0	0	2			+	9	14436	True	15369	54079;54080;54081;54082	47656;47657	47656		
